ticker,month,timeframe,roi,tp_hits,sl_hits,spacing
BGB-USD,2025-04,4h,0.1320589016667509,13,13,0.015
PAXG-USD,2025-04,4h,-0.10215379293618754,3,3,0.015
AAVE-USD,2025-04,4h,0.12420574552066684,29,9,0.035685631520596894
OKB-USD,2025-04,4h,0.19110797539466148,12,9,0.015
ONDO-USD,2025-04,4h,0.06979616630784222,28,11,0.028663778284531136
USDD-USD,2025-04,4h,0.0009503557742209523,0,0,0.015
BNB-USD,2025-05,4h,0.18158614798156122,6,5,0.015953768730537127
XRP-USD,2025-05,4h,-0.12168307586436641,17,10,0.025309314571189224
SOL-USD,2025-05,4h,-0.03178154021994487,16,7,0.030272580709281148
TRX-USD,2025-05,4h,0.21659708977178524,6,4,0.017069816914686262
DOGE-USD,2025-05,4h,0.11523013827367322,27,8,0.037081709080167356
BCH-USD,2025-05,4h,-0.08646080476708448,14,9,0.022658095261834984
LEO-USD,2025-05,4h,-0.06854828081006417,5,2,0.029778667376118412
LINK-USD,2025-05,4h,-0.14045674783134016,17,8,0.03274316716712041
XLM-USD,2025-05,4h,-0.1509912143487054,15,13,0.020457799843296987
XAUt-USD,2025-05,4h,0.2449801072254195,2,2,0.015
BGB-USD,2025-05,4h,-0.24207142406559795,12,11,0.016836274917989606
PAXG-USD,2025-05,4h,0.24672078989680812,2,2,0.015
AAVE-USD,2025-05,4h,0.16212401871007387,29,8,0.036504270812304826
OKB-USD,2025-05,4h,-0.36467483313208504,2,4,0.015
ONDO-USD,2025-05,4h,-0.2154601992469725,22,11,0.031219729431624335
USDD-USD,2025-05,4h,0.0007400592762860469,0,0,0.015
BNB-USD,2025-06,4h,0.015413745062905946,2,4,0.015
XRP-USD,2025-06,4h,0.140625,9,12,0.015
SOL-USD,2025-06,4h,-0.3084077456849991,16,13,0.018433273071906116
TRX-USD,2025-06,4h,0.2643380387536308,4,5,0.015
DOGE-USD,2025-06,4h,-0.47192634632940095,10,12,0.019875042690308063
BCH-USD,2025-06,4h,0.4072583047095577,18,7,0.020626032517610124
LEO-USD,2025-06,4h,0.20858003894194554,10,6,0.015
LINK-USD,2025-06,4h,-0.45556222394616275,15,16,0.01808099887846975
XLM-USD,2025-06,4h,-0.26743509105879637,6,9,0.015884559405757163
XRP-USD,2025-07,4h,0.2802861842474158,23,6,0.02983777495641782
SOL-USD,2025-07,4h,-0.07382593318325235,17,7,0.03041581132869724
TRX-USD,2025-07,4h,0.44979567216156285,6,4,0.015
DOGE-USD,2025-07,4h,0.34493487732670475,36,9,0.034334734175218616
BCH-USD,2025-07,4h,0.014882138108314392,13,4,0.03347588891706181
LEO-USD,2025-07,4h,-0.03469986736696228,0,1,0.015
LINK-USD,2025-07,4h,0.2556901426182776,27,9,0.028029994717840196
XLM-USD,2025-07,4h,0.546375756423422,39,8,0.03481769006981438
XAUt-USD,2025-07,4h,-0.17045130990538382,0,0,0.015
BGB-USD,2025-07,4h,-0.15562499999999999,11,15,0.015
PAXG-USD,2025-07,4h,-0.18538351507559128,0,0,0.015
AAVE-USD,2025-07,4h,-0.09128595519845475,19,9,0.027201915840597675
OKB-USD,2025-07,4h,-0.38436728531278275,3,4,0.015
ONDO-USD,2025-07,4h,0.20314867827033595,28,8,0.03142248956336413
USDD-USD,2025-07,4h,-0.0009547363644196594,0,0,0.015
BNB-USD,2025-08,4h,0.1666522966158118,9,8,0.015
XRP-USD,2025-08,4h,-0.3493728208466564,11,11,0.019602969293187382
SOL-USD,2025-08,4h,0.27442322188511753,24,8,0.025344877510199565
TRX-USD,2025-08,4h,0.44897197999152927,5,5,0.015
DOGE-USD,2025-08,4h,-0.061674629825356535,23,12,0.024402898830968023
BCH-USD,2025-08,4h,0.04227679246348998,9,7,0.022000143585676344
LEO-USD,2025-08,4h,0.23702579913322552,2,1,0.015
