ticker,month,timeframe,roi,tp_hits,sl_hits,cycles,avg_spacing
OKB-USD,2025-09,1d,0.24844719126873313,6,0,6,5.942136419893992
ONDO-USD,2025-09,1d,-0.38631908511197255,5,0,5,7.721247684594566
USDD-USD,2025-09,1d,0.01821054595098758,1,0,1,1.5
BNB-USD,2025-10,1d,1.0085287947774668,8,0,8,6.580884755641443
XRP-USD,2025-10,1d,2.1551905369216366,6,0,6,6.913154078277417
SOL-USD,2025-10,1d,0.5703913575865772,6,0,6,7.7892648253338965
TRX-USD,2025-10,1d,-0.6563285936746979,1,0,1,3.723041932642066
DOGE-USD,2025-10,1d,2.064864225593137,8,0,8,7.496545496234498
BCH-USD,2025-10,1d,0.402371674587921,4,0,4,7.321032116612744
LEO-USD,2025-10,1d,0.21091949315066813,1,0,1,2.473529564899647
LINK-USD,2025-10,1d,1.6359901003008235,7,0,7,8.928037023075397
XLM-USD,2025-10,1d,2.0934354561765214,5,0,5,7.202913261179476
XAUt-USD,2025-10,1d,-0.07789288406505875,3,0,3,3.6300110364517635
BGB-USD,2025-10,1d,1.0311426773272432,6,0,6,4.031882728618793
PAXG-USD,2025-10,1d,-0.10752479631715686,4,0,4,3.7488645594248986
AAVE-USD,2025-10,1d,1.6283203124999999,7,0,7,9.405469042333442
OKB-USD,2025-10,1d,0.8927160536022166,8,0,8,8.054545381887438
ONDO-USD,2025-10,1d,2.0412248401356194,5,0,5,8.770443334464046
USDD-USD,2025-10,1d,-0.0008682171558939445,0,0,0,1.5
BNB-USD,2025-11,1d,0.47751474173610403,1,0,1,6.5998805574217485
XRP-USD,2025-11,1d,0.3546063306472206,2,0,2,8.729505355799397
SOL-USD,2025-11,1d,-0.43140214321487297,1,0,1,9.588443485372578
TRX-USD,2025-11,1d,0.19635369244882894,2,0,2,2.4454736114709155
DOGE-USD,2025-11,1d,-0.4513594521012237,2,0,2,9.169189180245496
BCH-USD,2025-11,1d,0.33551666618524906,8,0,8,10.0
LEO-USD,2025-11,1d,0.5248836085053517,3,0,3,2.823111051472392
LINK-USD,2025-11,1d,-0.2176719079680697,2,0,2,8.446973940238529
XLM-USD,2025-11,1d,0.4003004089017122,5,0,5,8.650805214736398
XAUt-USD,2025-11,1d,0.3126543290616064,3,0,3,1.759017996683565
BGB-USD,2025-11,1d,1.2185632208675088,3,0,3,4.134151538304629
PAXG-USD,2025-11,1d,0.31231304084458317,3,0,3,1.9159876848379789
AAVE-USD,2025-11,1d,0.47870355414441296,7,0,7,9.564879936669632
OKB-USD,2025-11,1d,0.4492520369257,2,0,2,7.868328576911788
ONDO-USD,2025-11,1d,-0.8585441352661656,3,0,3,9.287542171998982
USDD-USD,2025-11,1d,0.000966387253592984,0,0,0,1.5
BNB-USD,2025-12,1d,0.32137299232901567,3,0,3,3.3839867684609857
XRP-USD,2025-12,1d,-0.7601613780671141,1,0,1,4.9582063029246575
SOL-USD,2025-12,1d,0.3546790690877788,7,0,7,5.676577925021334
TRX-USD,2025-12,1d,0.21094975673802766,2,0,2,2.090985612910639
DOGE-USD,2025-12,1d,-0.7743555303056746,2,0,2,6.765052045390196
BCH-USD,2025-12,1d,0.30209806482364004,8,0,8,7.093154982420311
LEO-USD,2025-12,1d,0.6833290210178711,4,0,4,8.81335691980643
LINK-USD,2025-12,1d,-0.2547311196346346,4,0,4,5.916182708430753
XLM-USD,2025-12,1d,-0.7840234755903657,2,0,2,6.96812438451659
XAUt-USD,2025-12,1d,0.0028904082149529132,2,0,2,2.0531787310565273
BGB-USD,2025-12,1d,0.3248141658723216,3,0,3,2.0237166872815133
PAXG-USD,2025-12,1d,-0.002549867323887156,2,0,2,2.2142882593765902
AAVE-USD,2025-12,1d,-0.5045330813924193,7,0,7,9.054137595727333
OKB-USD,2025-12,1d,0.3624172730491773,5,0,5,4.707008096672337
ONDO-USD,2025-12,1d,-1.5796323133161423,2,0,2,7.692439567161159
USDD-USD,2025-12,1d,-0.004279453109611495,0,0,0,1.5
BNB-USD,2025-01,4h,2.9980914528613902,8,0,8,1.5
